state,label,url,file,ok,reason
Abia,Abia Central,https://www.inecnigeria.org/wp-content/uploads/2024/05/ABIA-CENTRAL.pdf,Abia_ABIA-CENTRAL.pdf,True,
Abia,Abia North,https://www.inecnigeria.org/wp-content/uploads/2024/05/ABIA-NORTH.pdf,Abia_ABIA-NORTH.pdf,True,
Abia,Abia South,https://www.inecnigeria.org/wp-content/uploads/2024/05/ABIA-SOUTH.pdf,Abia_ABIA-SOUTH.pdf,True,
Adamawa,Adamawa Central,https://www.inecnigeria.org/wp-content/uploads/2024/05/ADAMAWA-CENTRAL.pdf,Adamawa_ADAMAWA-CENTRAL.pdf,True,
Adamawa,Adamawa North,https://www.inecnigeria.org/wp-content/uploads/2024/05/ADAMAWA-NORTH.pdf,Adamawa_ADAMAWA-NORTH.pdf,True,
Adamawa,Adamawa South,https://www.inecnigeria.org/wp-content/uploads/2024/05/ADAMAWA-SOUTH.pdf,Adamawa_ADAMAWA-SOUTH.pdf,True,
Akwa Ibom,Akwa Ibom North-West,https://www.inecnigeria.org/wp-content/uploads/2024/05/AKWA-IBOM-NORTH-WEST.pdf,Akwa-Ibom_AKWA-IBOM-NORTH-WEST.pdf,True,
Akwa Ibom,Akwa Ibom North-East,https://www.inecnigeria.org/wp-content/uploads/2024/05/AKWA-IBOM-NORTH-EAST.pdf,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf,True,
Akwa Ibom,Akwa Ibom South,https://www.inecnigeria.org/wp-content/uploads/2024/05/AKWA-IBOM-SOUTH.pdf,Akwa-Ibom_AKWA-IBOM-SOUTH.pdf,True,
Anambra,Anambra Central,https://www.inecnigeria.org/wp-content/uploads/2024/05/ANAMBRA-CENTRAL.pdf,Anambra_ANAMBRA-CENTRAL.pdf,True,
Anambra,Anambra North,https://www.inecnigeria.org/wp-content/uploads/2024/05/ANAMBRA-NORTH.pdf,Anambra_ANAMBRA-NORTH.pdf,True,
Anambra,Anambra South,https://www.inecnigeria.org/wp-content/uploads/2024/05/ANAMBRA-SOUTH.pdf,Anambra_ANAMBRA-SOUTH.pdf,True,
Bauchi,Bauchi Central,https://www.inecnigeria.org/wp-content/uploads/2024/05/BAUCHI-CENTRAL.pdf,Bauchi_BAUCHI-CENTRAL.pdf,True,
Bauchi,Bauchi North,https://www.inecnigeria.org/wp-content/uploads/2024/05/BAUCHI-NORTH.pdf,Bauchi_BAUCHI-NORTH.pdf,True,
Bauchi,Bauchi South,https://www.inecnigeria.org/wp-content/uploads/2024/05/BAUCHI-SOUTH.pdf,Bauchi_BAUCHI-SOUTH.pdf,True,
Bayelsa,Bayelsa Central,https://www.inecnigeria.org/wp-content/uploads/2024/05/BAYELSA-CENTRAL.pdf,Bayelsa_BAYELSA-CENTRAL.pdf,True,
Bayelsa,Bayelsa East,https://www.inecnigeria.org/wp-content/uploads/2024/05/BAYELSA-EAST.pdf,Bayelsa_BAYELSA-EAST.pdf,True,
Bayelsa,Bayelsa West,https://www.inecnigeria.org/wp-content/uploads/2024/05/BAYELSA-WEST.pdf,Bayelsa_BAYELSA-WEST.pdf,True,
Benue,Benue Northeast,https://www.inecnigeria.org/wp-content/uploads/2024/05/BENUE-NORTHEAST.pdf,Benue_BENUE-NORTHEAST.pdf,True,
Benue,Benue Northwest,https://www.inecnigeria.org/wp-content/uploads/2024/05/BENUE-NORTHWEST.pdf,Benue_BENUE-NORTHWEST.pdf,True,
Benue,Benue South,https://www.inecnigeria.org/wp-content/uploads/2024/05/BENUE-SOTH.pdf,Benue_BENUE-SOTH.pdf,True,
Borno,borno central,https://www.inecnigeria.org/wp-content/uploads/2024/05/BORNO-CENTRAL.pdf,Borno_BORNO-CENTRAL.pdf,True,
Borno,borno north,https://www.inecnigeria.org/wp-content/uploads/2024/05/BORNO-NORTH.pdf,Borno_BORNO-NORTH.pdf,True,
Borno,borno south,https://www.inecnigeria.org/wp-content/uploads/2024/05/BORNO-SOUTH.pdf,Borno_BORNO-SOUTH.pdf,True,
Cross River,Cross River Central,https://www.inecnigeria.org/wp-content/uploads/2024/05/CROSS-RIVER-CENTRAL.pdf,Cross-River_CROSS-RIVER-CENTRAL.pdf,True,
Cross River,Cross River North,https://www.inecnigeria.org/wp-content/uploads/2024/05/CROSS-RIVER-NORTH.pdf,Cross-River_CROSS-RIVER-NORTH.pdf,True,
Cross River,Cross River South,https://www.inecnigeria.org/wp-content/uploads/2024/05/CROSS-RIVER-SOUTH.pdf,Cross-River_CROSS-RIVER-SOUTH.pdf,True,
Delta,Delta Central,https://www.inecnigeria.org/wp-content/uploads/2024/05/DELTA-CENTRAL.pdf,Delta_DELTA-CENTRAL.pdf,True,
Delta,Delta North,https://www.inecnigeria.org/wp-content/uploads/2024/05/DELTA-NORTH.pdf,Delta_DELTA-NORTH.pdf,True,
Delta,Delta South,https://www.inecnigeria.org/wp-content/uploads/2024/05/DELTA-SOUTH.pdf,Delta_DELTA-SOUTH.pdf,True,
Ebonyi,Ebonyi Central,https://www.inecnigeria.org/wp-content/uploads/2024/05/EBONYI-CENTRAL.pdf,Ebonyi_EBONYI-CENTRAL.pdf,True,
Ebonyi,Ebonyi North,https://www.inecnigeria.org/wp-content/uploads/2024/05/EBONYI-NORTH.pdf,Ebonyi_EBONYI-NORTH.pdf,True,
Ebonyi,Ebonyi South,https://www.inecnigeria.org/wp-content/uploads/2024/05/EBONYI-SOUTH.pdf,Ebonyi_EBONYI-SOUTH.pdf,True,
Edo,edo central,https://www.inecnigeria.org/wp-content/uploads/2024/05/EDO-CENTRAL-1.pdf,Edo_EDO-CENTRAL-1.pdf,True,
Edo,edo north,https://www.inecnigeria.org/wp-content/uploads/2024/05/EDO-NORTH-1.pdf,Edo_EDO-NORTH-1.pdf,True,
Edo,edo south,https://www.inecnigeria.org/wp-content/uploads/2024/05/EDO-SOUTH-1.pdf,Edo_EDO-SOUTH-1.pdf,True,
Ekiti,ekiti central,https://www.inecnigeria.org/wp-content/uploads/2024/05/EKITI-CENTRAL.pdf,Ekiti_EKITI-CENTRAL.pdf,True,
Ekiti,ekiti north,https://www.inecnigeria.org/wp-content/uploads/2024/05/EKITI-NORTH.pdf,Ekiti_EKITI-NORTH.pdf,True,
Ekiti,ekiti south,https://www.inecnigeria.org/wp-content/uploads/2024/05/EKITI-SOUTH.pdf,Ekiti_EKITI-SOUTH.pdf,True,
Enugu,enugu east,https://www.inecnigeria.org/wp-content/uploads/2024/05/ENUGU-EAST.pdf,Enugu_ENUGU-EAST.pdf,True,
Enugu,enugu north,https://www.inecnigeria.org/wp-content/uploads/2024/05/ENUGU-NORTH.pdf,Enugu_ENUGU-NORTH.pdf,True,
Enugu,enugu west,https://www.inecnigeria.org/wp-content/uploads/2024/05/ENUGU-WEST.pdf,Enugu_ENUGU-WEST.pdf,True,
FCT,Abaji – Gwagwalada,https://www.inecnigeria.org/wp-content/uploads/2024/05/ABAJI_GWAGWALADA.pdf,FCT_ABAJI_GWAGWALADA.pdf,True,
FCT,bwari municipal,https://www.inecnigeria.org/wp-content/uploads/2024/05/BWARI-MUNICIPAL.pdf,FCT_BWARI-MUNICIPAL.pdf,True,
FCT,fCT Senatorial District,https://www.inecnigeria.org/wp-content/uploads/2024/05/FCT-SD.pdf,FCT_FCT-SD.pdf,True,
Gombe,gombe central,https://www.inecnigeria.org/wp-content/uploads/2024/05/GOMBE-CENTRAL.pdf,Gombe_GOMBE-CENTRAL.pdf,True,
Gombe,gombe north,https://www.inecnigeria.org/wp-content/uploads/2024/05/GOMBE-NORTH.pdf,Gombe_GOMBE-NORTH.pdf,True,
Gombe,gombe south,https://www.inecnigeria.org/wp-content/uploads/2024/05/GOMBE-SOUTH.pdf,Gombe_GOMBE-SOUTH.pdf,True,
