state,lga,lp,apc,pdp,apga,ypp,adc
Abia,Umuahia North,27668,7225,4843,1816,,457
Abia,Aba South,22014,,3348,1762,,
Abia,Isiala Ngwa North,7323,838,21741,225,,
Abia,Aba North,20974,,4146,1404,2296,
Abia,Umuahia South,16187,,5464,,,
Abia,Arochukwu,12689,1082,1280,,,
Abia,Ohafia,11848,1354,4128,945,,
Abia,Osisioma,7032,504,4699,292,8839,332
Abia,Obingwa,3776,721,9962,1445,,
Abia,Bende,9886,2143,3410,847,,
Abia,Isiala Ngwa South,7589,1580,9093,366,,
Abia,Isuikwuato,8228,,2204,3662,,
Abia,Ikwuano,7054,1198,2427,,,
Abia,Umunneochi,5940,2034,3198,581,,
Abia,Ukwa West,2833,1209,4622,830,,
Abia,Ugwunagbo,2153,,2538,,1805,
Abia,Ukwa East,2273,560,232,646,,
