state,lga,aa,adc,adp,apc,apga,apm,app,lp,nnpp,nrm,pdp,prp,sdp,ypp,zlp
Adamawa,Yola North,,332,,37886,,,,,,,24877,,133,,
Adamawa,Mubi North,232,113,129,32342,36,32,11,52,158,50,17469,67,53,11,6
Adamawa,Yola South,,201,,32255,,,,,,,21006,,280,,
Adamawa,Hong,,181,,18639,,,,,,,31443,,247,,
Adamawa,Michika,15,217,75,15793,46,40,16,59,116,107,30262,54,28,35,10
Adamawa,Madagali,,282,,9650,,,,,,,27351,,209,,
Adamawa,Fufore,11,100,117,24777,243,52,10,81,891,64,20409,50,217,60,12
Adamawa,Song,5,96,126,19935,47,67,21,438,1582,86,24744,45,350,73,18
Adamawa,Mayo-Belwa,8,98,60,23576,22,31,14,556,230,37,20239,98,860,56,29
Adamawa,Demsa,6,255,104,11798,28,14,14,84,32,77,22958,179,146,14,3
Adamawa,Jada,25,112,95,20899,43,53,19,152,214,94,22933,216,753,81,11
Adamawa,Ganye,10,80,92,21605,42,35,9,22,26,59,17883,76,69,26,7
Adamawa,Gombi,,,,19665,,,,,,,19866,,59,,
Adamawa,Lamurde,8,296,50,9376,15,9,5,97,57,28,19104,13,126,16,8
Adamawa,Guyuk,,,,14172,,,,,,,18427,,422,,
Adamawa,Mubi South,,144,,18149,,,,,,,12686,,340,,
Adamawa,Girei,8,48,82,16140,26,38,7,118,933,44,17298,45,95,806,27
Adamawa,Numan,,138,,10626,,,,,,,17026,,24,,
Adamawa,Shelleng,,,,12889,,,,,,,14867,,1136,,
Adamawa,Maiha,7,27,46,13242,24,10,46,5,10,33,12792,18,14,11,3
Adamawa,Toungo,,49,,7161,,,,,,,7884,,103,,
