state,lga,a,aa,aac,adc,adp,apc,apga,apm,app,bp,lp,nnpp,nrm,pdp,prp,sdp,ypp,zlp
Akwa Ibom,Uyo,,,,,,8267,,,,,1447,3229,,25149,,,13810,
Akwa Ibom,Ibiono Ibom,,,,,,398,,,,,29,454,,7066,,,21992,
Akwa Ibom,Eket,26,4,16,100,29,4770,12,21,4,7,425,410,59,20658,12,16,4151,28
Akwa Ibom,Nsit Ubium,,,,,,1673,,,,,55,349,,19359,,,1053,
Akwa Ibom,Oruk Anam,,,,,,6743,,,,,82,397,,16381,,,3775,
Akwa Ibom,Onna,,,,,,1733,,,,,48,81,,15910,,,1782,
Akwa Ibom,Etinan,,,,,,4100,,,,,74,335,,15439,,,3866,
Akwa Ibom,Ibesikpo Asutan,,,,,,7737,,,,,122,318,,15334,,,2569,
Akwa Ibom,Ikot Ekpene,,,,,,6848,,,,,562,437,,14495,,,5873,
Akwa Ibom,Ikono,,,,,,1502,,,,,38,297,,11343,,,13909,
Akwa Ibom,Mkpat Enin,,,,,,3303,,,,,219,287,,14240,,,2695,
Akwa Ibom,Essien Udim,,,,,,11833,,,,,90,916,,13754,,,7601,
Akwa Ibom,Ikot Abasi,26,6,19,396,27,2360,14,15,8,10,129,158,28,13559,11,15,1943,26
Akwa Ibom,Abak,,,,,,11249,,,,,436,342,,12847,,,4954,
Akwa Ibom,Uruan,,,,,,5623,,,,,96,963,,12740,,,3760,
Akwa Ibom,Nsit Ibom,,,,,,7921,,,,,58,166,,11560,,,897,
Akwa Ibom,Ukanafun,,,,,,5036,,,,,33,496,,11348,,,2124,
Akwa Ibom,Itu,,,,,,2486,,,,,199,642,,10950,,,932,
Akwa Ibom,Obot Akara,,,,,,4022,,,,,72,156,,10884,,,2454,
Akwa Ibom,Ini,,,,,,883,,,,,36,137,,10048,,,6325,
Akwa Ibom,Nsit Atai,,,,,,3418,,,,,16,451,,9938,,,1818,
Akwa Ibom,Esit Eket,,,,,,2488,,,,,,,,9549,,1765,,
Akwa Ibom,Etim Ekpo,,,,,,4368,,,,,55,269,,7383,,,2429,
Akwa Ibom,Okobo,,,,,,3599,,,,,,,,7260,,,3061,
Akwa Ibom,Mbo,,,,,,4167,,,,,22,60,,6635,,,1128,
Akwa Ibom,Oron,,,,,,3164,,,,,76,150,,6295,,,1624,
Akwa Ibom,Ibeno,,,,,,904,,,,,53,62,,5626,,,1932,
Akwa Ibom,Eastern Obolo,,,,,,622,,,,,21,124,,5180,,,1538,
Akwa Ibom,Urue Offong/Oruko,,,,,,3471,,,,,30,58,,5088,,,2332,
Akwa Ibom,Ika,,,,,,2908,,,,,7,160,,4361,,,1301,
Akwa Ibom,Udung Uko,,,,,,2006,,,,,19,306,,3959,,,1475,
