state,lga,apc,lp,nnpp,pdp
Bauchi,Alkaleri,15798,127,2069,34387
Bauchi,Bauchi,69850,465,5749,80390
Bauchi,Bogoro,10436,174,3253,16589
Bauchi,Damban,11325,79,4395,13307
Bauchi,Darazo,23544,45,3359,19735
Bauchi,Dass,11596,32,643,14471
Bauchi,Gamawa,22565,9,1841,21558
Bauchi,Ganjuwa,17606,87,7387,20924
Bauchi,Giade,18023,5,1114,14145
Bauchi,Itas/Gadau,16206,17,2913,18778
Bauchi,Jama'are,11865,17,3253,13693
Bauchi,Katagum,35774,37,2376,25218
Bauchi,Kirfi,11631,33,3571,13454
Bauchi,Misau,26448,42,1820,16351
Bauchi,Ningi,23795,37,4178,29515
Bauchi,Shira,21644,14,2536,25373
Bauchi,Tafawa Balewa,22928,183,3166,35100
Bauchi,Toro,29848,88,3634,65456
Bauchi,Warji,11783,19,1812,20416
Bauchi,Zaki,19637,8,1415,26420
