state,lga,apc,lp,pdp
Benue,Ado,8662,308,4379
Benue,Agatu,7482,216,9934
Benue,Apa,7925,465,7806
Benue,Buruku,34713,1155,9513
Benue,Gboko,53985,1493,18773
Benue,Guma,15371,535,22083
Benue,Gwer East,20083,1272,12085
Benue,Gwer West,10947,1509,13609
Benue,Katsina-Ala,34347,178,6716
Benue,Konshisha,13997,21606,5905
Benue,Logo,15574,296,16385
Benue,Makurdi,56432,3792,12329
Benue,Obi,9897,1185,6267
Benue,Ogbadibo,7627,405,6032
Benue,Ohimini,7233,973,6785
Benue,Oju,17245,1611,8811
Benue,Okpokwu,9326,1039,8634
Benue,Oturkpo,19430,2187,12834
Benue,Tarka,16422,175,3748
Benue,Ukum,28503,439,9418
Benue,Ushongo,31946,913,8879
Benue,Vandeikya,46786,129,12988
