state,lga,apc,pdp,lp
Borno,Kaga,9523,1091,
Borno,Magumeri,10428,151,
Borno,Mafa,23615,83,
Borno,Dikwa,17294,765,
Borno,Jere,45247,2785,
Borno,Nganzai,8078,150,
Borno,Guzamala,18341,200,
Borno,Konduga,21272,557,
Borno,Gubio,37260,485,
Borno,Kwaya Kusar,11497,6090,
Borno,Mobbar,8882,250,
Borno,Chibok,8134,5451,
Borno,Damboa,21837,4525,
Borno,Bayo,16157,1370,
Borno,Ngala,17602,115,1
Borno,Abadam,6193,252,
Borno,Kala Balge,9805,517,
Borno,Shani,18018,5858,67
Borno,Maiduguri,80942,7365,41
Borno,Gwoza,22801,2449,67
Borno,Monguno,17189,280,0
Borno,Bama,30047,1682,11
Borno,Askira/Uba,18667,1179,66
Borno,Marte,12081,57,0
