state,lga,apc,pdp,others,total
Cross River,Abi,9861,8816,659,19336
Cross River,Akamkpa,10529,6935,262,17726
Cross River,Akpabuyo,10410,5938,461,16809
Cross River,Bakassi,1632,316,46,1994
Cross River,Bekwarra,11839,12129,611,24579
Cross River,Biase,11626,7079,387,19092
Cross River,Boki,17355,15303,520,33178
Cross River,Calabar Municipal,20320,15882,1674,37876
Cross River,Calabar South,28340,7980,951,37271
Cross River,Etung,5205,5139,152,10496
Cross River,Ikom,12883,14158,528,27569
Cross River,Obanliku,10386,10100,125,20611
Cross River,Obubra,13371,10945,1118,25434
Cross River,Obudu,21599,12461,1258,35318
Cross River,Odukpani,13622,3971,1418,19011
Cross River,Ogoja,16162,17483,1418,33978
Cross River,Yakurr,17684,9208,2922,29814
Cross River,Yala,24793,15793,1255,41841
