state,lga,apc,lp,pdp,others,total
Delta,Aniocha North,4386,1883,8938,1109,16316
Delta,Aniocha South,4623,5107,10032,706,20468
Delta,Bomadi,4728,100,12340,391,17559
Delta,Burutu,11736,123,12641,462,24962
Delta,Ethiope East,11600,530,13030,2654,27814
Delta,Ethiope West,6758,304,7065,247,14374
Delta,Ika North East,4733,1990,26760,325,33808
Delta,Ika South,6790,4495,15283,581,27149
Delta,Isoko North,10811,894,15899,728,28332
Delta,Isoko South,15954,492,19963,1700,38109
Delta,Ndokwa East,9044,251,10146,402,19843
Delta,Ndokwa West,10252,935,15539,263,26989
Delta,Okpe,8679,1155,14544,649,25027
Delta,Oshimili North,5327,2183,35966,1892,45368
Delta,Oshimili South,4763,10148,23149,470,38530
Delta,Patani,4743,85,6069,286,11183
Delta,Sapele,12090,1458,15217,1050,29815
Delta,Udu,13769,1886,9746,741,26142
Delta,Ughelli North,34955,1438,15198,1641,53232
Delta,Ughelli South,15620,571,15513,3116,34820
Delta,Ukwuani,7591,791,14640,574,23596
Delta,Uvwie,12389,6340,9776,1758,30263
Delta,Warri North,4165,205,10367,402,15139
Delta,Warri South,11569,3743,15299,1157,31768
Delta,Warri South West,3770,140,7114,109,11133
