state,lga,apc,apga,lp,pdp,others
Enugu,Aninri,902,498,3431,6520,268
Enugu,Awgu,1175,805,5462,10668,829
Enugu,Enugu East,622,2779,12405,12803,365
Enugu,Enugu North,563,3108,9610,9333,548
Enugu,Enugu South,560,3110,7438,10557,431
Enugu,Ezeagu,963,300,5949,7576,253
Enugu,Igbo Etiti,939,1259,11941,8959,572
Enugu,Igbo Eze North,541,250,9955,8738,446
Enugu,Igbo Eze South,927,246,9680,4691,463
Enugu,Isi Uzo,231,42,12518,6381,212
Enugu,Nkanu East,448,188,1855,30350,117
Enugu,Nkanu West,1676,1609,2577,8382,222
Enugu,Nsukka,1017,1309,30294,10886,911
Enugu,Oji River,1060,246,7747,7365,289
Enugu,Udenu,513,412,11315,10148,566
Enugu,Udi,1648,1724,10109,13633,840
Enugu,Uzo Uwani,1019,169,5257,7298,154
