state,lga,apc,lp,pdp,apga,reg_voters,acc_voters,valid
Imo,Oru East,67315,3443,2202,,85080,74324,74286
Imo,Njaba,8110,995,2404,,,12098,11736
Imo,Mbaitoli,12556,4007,5343,,153284,24186,23014
Imo,Ihitte Uboma,11099,2766,3077,,52108,17537,17358
Imo,Ideato North,5271,1522,2062,,86905,9609,9161
Imo,Ohaji/Egbema,14962,1506,3694,,107456,21366,20755
Imo,Orlu,37614,1711,2424,,103223,49229,48027
Imo,Nwangele,29282,895,2132,,55535,33259,32597
Imo,Onuimo,13134,1753,2676,,36717,18405,18240
Imo,Orsu,18003,813,624,,56996,19939,19589
Imo,Ehime Mbano,6632,4958,681,,79212,13027,12484
Imo,Ikeduru,22356,1877,7258,,119987,3366,32183
Imo,Owerri Municipal,5324,2914,2180,,134169,11110,10813
Imo,Aboh Mbaise,9638,2455,1724,,111207,16084,15415
Imo,Oguta,57310,1941,2653,,,64260,63675
Imo,Ezinihitte Mbaise,8473,3332,2737,73,91272,16971,16282
Imo,Isiala Mbano,10860,2419,1659,,,,15202
Imo,Owerri West,9205,2597,3305,,,,15712
Imo,Ngor Okpala,14143,2716,3451,,,,21492
Imo,Nkwerre,22488,1320,2632,,,,26764
Imo,Ahiazu Mbaise,8369,2214,3507,,,,15353
Imo,Isu,11312,1253,2508,,,,15776
Imo,Owerri North,8536,4386,3449,,134555,18398,17440
Imo,Oru West,38726,1867,987,275,,42965,41373
Imo,Obowo,17514,3404,711,,68690,22214,21907
Imo,Ideato South,16891,1649,2469,,,,
Imo,Okigwe,55585,2655,1688,,,,63935
