state,lga,apc,lp,nnpp,pdp
Jigawa,Auyo,25115,59,1400,10424
Jigawa,Babura,28041,67,2567,13172
Jigawa,Biriniwa,21341,14,1199,12149
Jigawa,Birnin Kudu,33027,30,677,35517
Jigawa,Buji,15941,7,316,11447
Jigawa,Dutse,30051,44,674,28464
Jigawa,Gagarawa,12752,31,1405,8704
Jigawa,Garki,26031,33,3199,12449
Jigawa,Gumel,12921,5,137,9132
Jigawa,Guri,17384,9,2267,6829
Jigawa,Gwaram,34394,309,1057,33832
Jigawa,Gwiwa,17526,14,368,6959
Jigawa,Hadejia,28381,50,2001,4304
Jigawa,Jahun,31376,17,1127,21106
Jigawa,Kafin Hausa,35458,25,755,17049
Jigawa,Kaugama,23557,20,2165,13658
Jigawa,Kazaure,13650,34,559,10138
Jigawa,Kiri Kasama,22255,11,1462,10586
Jigawa,Kiyawa,25397,10,486,16363
Jigawa,Maigatari,19321,11,481,13161
Jigawa,Malam Madori,20538,25,914,10692
Jigawa,Miga,18537,8,705,11520
Jigawa,Ringim,32475,44,7809,12318
Jigawa,Roni,15697,0,258,7419
Jigawa,Sule Tankarkar,22819,21,1305,14512
Jigawa,Taura,25991,35,1569,11753
Jigawa,Yankwashi,8473,26,294,5069
