state,lga,apc,pdp,lp,nnpp
Kaduna,Kaura,7748,15108,12950,618
Kaduna,Giwa,30773,28869,221,547
Kaduna,Sanga,12338,13119,2135,457
Kaduna,Kajuru,8271,23125,1773,982
Kaduna,Jaba,7564,14616,2871,174
Kaduna,Makarfi,25670,26128,278,532
Kaduna,Ikara,29066,28612,692,550
Kaduna,Jema'a,19920,28963,6017,54
Kaduna,Zangon Kataf,11448,33185,7377,534
Kaduna,Kauru,26915,26342,3461,455
Kaduna,Soba,27235,30874,457,335
Kaduna,Sabon Gari,44406,33553,972,2706
Kaduna,Kubau,39855,26627,604,102
Kaduna,Zaria,78659,47091,672,2567
Kaduna,Kaduna South,69170,42604,2292,1048
Kaduna,Kaduna North,65782,33120,1042,4307
Kaduna,Chikun,19979,89946,4770,377
Kaduna,Igabi,74974,40681,1178,1117
Kaduna,Kagarko,18830,19991,1530,221
Kaduna,Kachia,23849,27491,1726,470
Kaduna,Lere,45823,46365,4321,
Kaduna,Birnin Gwari,20627,19954,37,726
