state,lga,apc,nnpp,pdp,adp,reg_voters,acc_voters
Kano,Nasarawa,38952,53434,480,,432144,98279
Kano,Kano Municipal,30264,47351,359,1297,,
Kano,Gwarzo,26881,25419,377,,,
Kano,Dala,28880,54794,239,,,
Kano,Takai,25244,23666,194,,128584,50313
Kano,Gwale,21548,39460,638,,249537,67894
Kano,Tarauni,21276,31333,321,,226254,
Kano,Ungogo,24644,33111,819,,205418,62620
Kano,Kumbotso,22681,37668,326,,,65002
Kano,Dawakin Tofa,25226,24124,258,,112181,54031
Kano,Kura,18924,20989,259,,112597,
Kano,Garun Mallam,14958,15400,107,,81443,32896
Kano,Madobi,17102,25151,203,,92328,43042
Kano,Dawakin Kudu,23656,31814,1350,,162445,60084
Kano,Gaya,19272,19246,71,,108443,41067
Kano,Kiru,27014,29153,263,,132716,57603
Kano,Rimin Gado,12316,13402,64,,72271,27410
Kano,Doguwa,20658,17184,720,,86705,40099
Kano,Sumaila,19682,29057,113,,114740,51349
Kano,Bichi,46443,23029,112,,152372,73328
Kano,Bunkure,17156,19277,692,,95059,38527
Kano,Garko,14658,18808,162,,99454,36316
Kano,Dambatta,16995,9674,1107,,121094,28877
Kano,Tudun Wada,24382,27434,166,,141206,53336
Kano,Warawa,16296,14629,201,,75623,32757
Kano,Gezawa,19961,22077,277,,114950,44813
Kano,Kibiya,13260,17157,52,,77929,31131
Kano,Kabo,23599,16963,2118,,90698,44002
Kano,Bagwai,21295,17311,51,,95412,40119
Kano,Shanono,17249,13650,272,,75981,32067
Kano,Ajingi,14438,15422,103,,87420,32678
Kano,Gabasawa,17584,19507,1269,,87374,39461
Kano,Albasu,16959,19952,293,,101038,38305
Kano,Minjibir,16039,17575,189,148,94186,37718
Kano,Tsanyawa,18746,16767,71,,89477,36557
Kano,Makoda,15006,13956,101,,75487,31601
Kano,Rogo,11112,18559,124,,,
Kano,Wudil,20299,21740,118,,116966,45335
Kano,Kunchi,13215,10674,34,,64928,25306
Kano,Karaye,14515,15838,77,,85557,32172
Kano,Rano,17090,18040,225,,,
