state,lga,apc,pdp,lp,nnpp,prp,sdp,reg_voters,acc_voters,valid,rejected,total
Katsina,Dutsin-Ma,23878,14328,27,755,924,12,,40902,40096,779,40875
Katsina,Faskari,27366,22565,10,152,20,7,122407,51218,50245,524,50768
Katsina,Kankara,21652,27984,1,151,28,1,135809,50688,49912,564,50476
Katsina,Malumfashi,43522,24676,41,519,50,55,173064,70062,69219,707,69926
Katsina,Danja,28040,16302,0,39,39,2,102801,45187,44578,482,45060
Katsina,Matazu,18363,10551,2,9,7,0,69565,29207,28970,195,29165
Katsina,Bakori,29892,19592,7,294,793,34,132698,54499,50824,840,51664
Katsina,Katsina,47241,28982,94,305,915,529,294103,80627,78991,1636,80627
Katsina,Danmusa,20145,12514,0,23,7,0,86170,33106,32755,351,33106
Katsina,Sabuwa,16224,11340,1,27,8,15,69794,28031,28031,329,27990
Katsina,Kurfi,18750,10545,19,2134,14,2,73078,32743,31549,207,31756
Katsina,Charanchi,20782,7539,5,66,11,0,73766,30695,28475,272,28747
Katsina,Kankia,18249,14830,1,16,22,0,78224,35156,33210,441,33651
Katsina,Jibia,21216,13259,8,22,34,5,98311,35844,34729,1035,35764
Katsina,Batsari,20053,10247,11,239,158,2,106955,31535,30796,738,31534
Katsina,Mashi,28793,8896,8,74,11,102,100191,38756,38091,620,38711
Katsina,Daura,26548,10689,8,78,27,8,97136,38186,37549,492,38041
Katsina,Funtua,31924,19849,39,314,218,3,147391,53353,52601,705,53306
Katsina,Safana,15417,10450,2,9,53,143,83882,26879,26129,715,26844
Katsina,Mani,29678,16180,16,231,28,10,114440,47718,46347,974,47321
Katsina,Kusada,13750,11151,4,5,17,,61313,25602,24984,392,25376
Katsina,Rimi,28202,13823,13,397,,,95642,43188,42629,538,43167
Katsina,Zango,19757,10477,,4,14,,73235,30659,30324,268,30592
Katsina,Maiadua,28436,11506,,68,10,,88617,40768,40130,435,40565
Katsina,Kaita,24121,9824,,53,20,,76526,35568,34207,912,35119
Katsina,Bindawa,28997,12165,,957,47,,88793,42922,42305,436,42741
Katsina,Ingawa,22080,12255,,209,217,,86957,36034,34929,1066,35995
Katsina,Batagarawa,26326,13510,,212,81,,100069,41301,40355,768,41123
Katsina,Dandume,23710,14792,,220,146,,97406,41071,39115,529,39645
Katsina,Dutsi,15631,8419,,10,10,,64743,24298,24119,161,24280
Katsina,Baure,32802,17888,,62,12,,113640,52678,50894,1486,52680
Katsina,Sandamu,21055,10641,,1,3,,74399,31877,31738,132,31870
