state,lga,a,aa,aac,adc,adp,apc,apga,apm,app,bp,lp,nnpp,nrm,pdp,prp,sdp,ypp,zlp,reg_voters,acc_voters
Kogi,Ajaokuta,6,24,8,247,55,23211,24,5,86,9,26,9,14,483,37,8869,45,15,96504,33806
Kogi,Dekina,776,20,34,421,104,9174,35,6,67,8,18,17,5,499,213,47480,252,22,187881,60588
Kogi,Okene,13,288,54,261,45,138416,106,16,12,18,292,14,2,1463,36,271,16,27,151243,141898
Kogi,Ankpa,54,71,9,186,66,8707,28,11,116,3,12,12,36,3654,66,43258,84,22,180095,57650
Kogi,Olamaboro,77,4,46,126,35,5572,21,3,143,2,15,8,7,1376,47,22173,62,14,105864,30287
Kogi,Omala,33,5,7,218,26,2902,7,1,50,2,5,1,4,832,19,18160,38,7,74537,22538
Kogi,Bassa,47,10,32,448,51,9515,20,11,144,2,5,7,25,3605,35,7543,40,14,69376,22276
Kogi,Koton Karfe,6,31,8,133,44,14769,16,5,37,2,9,5,8,2974,24,8441,25,4,63342,27184
Kogi,Ofu,26,60,28,297,66,5245,26,12,141,2,19,12,11,293,62,28768,86,26,101964,36087
Kogi,Adavi,6,27,,268,9,101156,0,2,2,0,16,1,0,1005,1,268,0,0,114663,103251
Kogi,Mopa Muro,24,5,24,2027,48,5077,8,4,2,2,1,2,2,1562,4,253,4,0,26827,9193
Kogi,Ijumu,20,93,32,1898,81,10524,12,6,10,3,5,7,19,6909,10,356,4,2,66482,20405
Kogi,Yagba East,34,40,23,7453,38,7096,10,7,1,5,1,2,5,2615,2,312,5,0,53436,18001
Kogi,Kabba Bunu,17,197,23,1537,73,12376,16,8,10,3,7,7,16,8566,12,942,11,3,,
Kogi,Okehi,6,165,21,689,34,53062,9,2,1,7,69,2,46,2722,7,153,1,6,,
Kogi,Yagba West,29,31,16,4556,59,7969,5,4,3,1,3,3,9,3010,30,1002,5,3,,
Kogi,Idah,39,3,8,91,22,2033,18,3,58,3,10,6,5,20059,51,20059,46,16,,
Kogi,Ogori Magongo,,,,11,1,362,,,,,1,,2,86,,195,,,,
