state,lga,apc,pdp,sdp,others
Kwara,Asa,14946,11183,953,825
Kwara,Baruten,28060,7987,1492,335
Kwara,Edu,22485,17378,374,1094
Kwara,Ekiti,6836,4273,170,319
Kwara,Ifelodun,17599,9085,1559,763
Kwara,Ilorin East,23925,14500,2645,1100
Kwara,Ilorin South,20148,12096,2357,1348
Kwara,Ilorin West,46468,32372,1948,2970
Kwara,Irepodun,12860,7614,1693,566
Kwara,Isin,5274,3400,567,197
Kwara,Kaiama,14431,6297,624,421
Kwara,Moro,15161,6823,1992,490
Kwara,Offa,14696,6705,1289,841
Kwara,Oke Ero,7758,3768,149,133
Kwara,Oyun,8991,5465,1068,656
Kwara,Pategi,13813,6544,389,230
