state,lga,apc,lp,nnpp,pdp
Lagos,Agege,35845,8486,70,3176
Lagos,Ajeromi-Ifelodun,39798,19821,121,2607
Lagos,Alimosho,83631,37100,210,7872
Lagos,Amuwo-Odofin,17576,34860,82,1809
Lagos,Apapa,21007,4157,46,2487
Lagos,Badagry,41482,4863,46,5472
Lagos,Epe,29614,1515,14,3272
Lagos,Eti Osa,25963,19967,52,1468
Lagos,Ibeju-Lekki,19369,3785,12,3189
Lagos,Ifako-Ijaiye,38682,13020,55,2262
Lagos,Ikeja,32273,15174,130,1616
Lagos,Ikorodu,64697,13207,80,3797
Lagos,Kosofe,49344,26123,152,3537
Lagos,Lagos Island,37760,1317,10,1783
Lagos,Lagos Mainland,26021,9999,55,2362
Lagos,Mushin,52249,11759,86,4006
Lagos,Ojo,30797,19027,101,3889
Lagos,Oshodi-Isolo,36792,24984,73,2515
Lagos,Somolu,36783,15096,70,3130
Lagos,Surulere,42451,28069,118,2200
