state,lga,a,aa,adc,adp,apc,apga,apm,app,lp,nnpp,nrm,pdp,prp,sdp,ypp
Niger,Chanchaga,12,5,82,170,34231,105,24,10,323,144,90,27989,43,8,58
Niger,Kontagora,11,9,51,139,28050,105,22,6,82,274,51,14329,11,2,25
Niger,Bida,6,3,46,173,27778,75,29,4,87,687,61,22846,24,2,75
Niger,Bosso,,,,,24794,,,,,,,20251,,,
Niger,Borgu,,,,88,24122,30,,,94,,,7714,,,
Niger,Mokwa,,,,89,17978,28,,,36,300,,22063,,,
Niger,Paikoro,,,,,21855,,,,,,,15780,,,
Niger,Lapai,,,,,21795,,,,16,18,,18041,,,
Niger,Lavun,,,,,18058,,,,,,,20922,,,
Niger,Agaie,2,,7,55,20911,14,5,1,5,4,30,19470,9,,1
Niger,Mariga,,,,33,19188,30,,,12,95,32,11714,,,
Niger,Suleja,,,,,18261,,,,,,,15551,,,
Niger,Gbako,,,,,16423,,,,,,,18043,,,
Niger,Rafi,4,4,47,52,17843,53,10,6,16,30,69,16007,23,4,7
Niger,Magama,5,3,22,51,17107,62,38,17,172,356,32,13483,18,10,16
Niger,Katcha,,,,,17037,,,,,,,16495,,,
Niger,Edati,,,,,9225,,,,,,,16559,,,
Niger,Wushishi,,,,46,15089,656,,,11,55,,9187,,,
Niger,Mashegu,,,,,14958,,,,,,,11961,,,
Niger,Gurara,,,,,14520,,,,,,,11506,,,
Niger,Rijau,,,,,12925,,,,,215,,11463,,,
Niger,Tafa,,,,,12520,,,,,,,12082,,,
Niger,Munya,,,,,8644,,,,,,,10208,,,
Niger,Agwara,,,,,8872,,,,38,,,7987,468,,
