state,lga,apc,nnpp,pdp
Ogun,Abeokuta North,14294,34,12622
Ogun,Abeokuta South,19689,99,24175
Ogun,Ado-Odo/Ota,39006,194,31022
Ogun,Ewekoro,8192,60,7449
Ogun,Ifo,20653,154,16052
Ogun,Ijebu East,7883,45,11242
Ogun,Ijebu North,18815,22,15904
Ogun,Ijebu North East,5408,27,7086
Ogun,Ijebu Ode,12907,36,10714
Ogun,Ikenne,9125,9,12472
Ogun,Imeko Afon,9591,93,6981
Ogun,Ipokia,21338,46,19189
Ogun,Obafemi Owode,15466,275,11004
Ogun,Odeda,11098,31,8050
Ogun,Odogbolu,9143,10,12963
Ogun,Ogun Waterside,5878,56,7716
Ogun,Remo North,4306,6,8177
Ogun,Shagamu,13128,58,17025
Ogun,Yewa North,15331,64,11627
Ogun,Yewa South,15047,75,10913
