state,lga,apc,lp,nnpp,pdp
Oyo,Afijio,5588,10,17,13139
Oyo,Akinyele,9445,66,23,28920
Oyo,Atiba,7484,15,13,18389
Oyo,Atisbo,6955,16,2,9199
Oyo,Egbeda,7377,77,42,30444
Oyo,Ibadan North,11883,174,66,39658
Oyo,Ibadan North-East,8486,61,138,29396
Oyo,Ibadan North-West,5947,74,4,19007
Oyo,Ibadan South-East,9147,61,28,23585
Oyo,Ibadan South-West,9491,166,15,31273
Oyo,Ibarapa Central,6287,21,3,10491
Oyo,Ibarapa East,7094,10,30,11125
Oyo,Ibarapa North,5678,7,3,10845
Oyo,Ido,7865,86,40,19284
Oyo,Irepo,9785,3,1,7193
Oyo,Iseyin,9694,34,16,25740
Oyo,Itesiwaju,4597,8,1,8034
Oyo,Iwajowa,6441,6,3,9029
Oyo,Kajola,9523,0,1,13562
Oyo,Lagelu,7432,44,17,19104
Oyo,Ogbomosho North,10661,89,70,20387
Oyo,Ogbomosho South,8257,83,58,17693
Oyo,Ogo Oluwa,5570,17,0,10930
Oyo,Olorunsogo,4851,4,16,5838
Oyo,Oluyole,6592,62,8,21700
Oyo,Ona Ara,5510,36,36,17326
Oyo,Orelope,7077,10,26,6483
Oyo,Ori Ire,9216,17,7,13767
Oyo,Oyo East,6999,16,131,15751
Oyo,Oyo West,7599,14,57,15084
Oyo,Saki East,5519,7,35,8374
Oyo,Saki West,13753,32,19,17452
Oyo,Surulere,8882,173,30,15554
