state,lga,a,aa,aac,adc,adp,apc,apga,apm,app,bp,lp,nnpp,nrm,pdp,prp,sdp,ypp,zlp,valid,rejected,total,reg_voters,acc_voters
Plateau,Qua'an Pan,3,3,5,59,96,24900,35,7,2,28,1825,55,53,31727,18,158,5,19,58998,518,59516,171487,59544
Plateau,Jos North,32,50,476,275,411,83170,150,69,54,22,6915,366,162,64690,206,32,1160,34,158274,1848,160122,490400,160233
Plateau,Jos South,29,6,22,169,177,35403,119,19,32,567,10865,137,249,84103,274,27,23,64,132285,1425,133710,307672,133710
Plateau,Bokkos,14,5,31,124,173,20779,48,17,7,25,5876,33,80,26529,15,113,72,64,53985,724,54709,130042,54739
Plateau,Mangu,11,3,14,97,186,25570,60,9,2,7,1621,38,156,77279,40,11,309,11,105424,795,106219,224784,106220
Plateau,Kanam,1,1,0,16,48,48710,23,1,10,79,1171,64,25,28706,11,8,3,0,78877,489,79366,164293,79379
Plateau,Wase,0,2,0,15,32,35011,19,4,3,14,269,4,45,26557,19,142,3,2,62142,885,63027,168415,64002
Plateau,Riyom,8,9,10,58,68,12657,35,2,1,2,1878,30,54,18647,13,1,3,10,33486,548,34034,81098,34034
Plateau,Shendam,12,3,28,120,93,30815,54,12,10,51,5169,86,42,17733,230,3,88,42,54591,823,55414,178914,55735
Plateau,Langtang North,6,58,8,65,51,20756,33,9,5,32,6575,21,53,27826,11,117,310,41,55924,590,56514,136108,56534
Plateau,Pankshin,8,2,33,139,108,28827,51,25,6,17,7949,36,32,15957,13,12,542,62,53819,536,54355,101264,59721
Plateau,Mikang,4,2,4,32,23,10691,12,2,0,1,672,35,25,12027,14,0,6,5,23555,212,23767,63790,23774
Plateau,Kanke,2,1,9,61,57,35436,28,2,1,1,633,2,7,6870,4,1,8,5,43128,241,43369,102567,43366
Plateau,Langtang South,3,1,1,25,21,12437,16,2,3,3,846,1,20,16104,9,28,3,3,29526,168,29694,72956,31039
Plateau,Barkin Ladi,4,1,11,78,97,18568,36,7,1,25,4118,28,98,32119,20,2,17,13,55243,420,55663,125311,55678
Plateau,Jos East,7,1,14,56,53,11852,22,5,3,4,1347,18,31,9290,4,3,8,12,22730,381,23111,72318,23121
Plateau,Bassa,7,3,9,119,136,25788,38,6,7,7,2581,29,81,29135,392,4,65,11,58418,578,58996,157009,59018
