state,lga,apc,pdp,sdp,others
Rivers,Abua–Odual,5738,9763,463,712
Rivers,Ahoada East,2650,14408,2077,903
Rivers,Ahoada West,4883,6425,1063,775
Rivers,Akuku-Toru,3724,6273,222,931
Rivers,Andoni,3149,8319,1185,618
Rivers,Asari-Toru,4209,12663,179,1271
Rivers,Bonny,3285,8032,559,1571
Rivers,Degema,3107,4437,579,1006
Rivers,Eleme,2662,8414,2251,920
Rivers,Emohua,5916,20600,805,1270
Rivers,Etche,6408,16043,2586,1283
Rivers,Gokana,7410,17455,13840,755
Rivers,Ikwerre,7503,13716,1447,1424
Rivers,Khana,620,9475,5846,494
Rivers,Obio-Akpor,7361,45065,3056,10083
Rivers,Ogba–Egbema–Ndoni,6811,17729,3450,3391
Rivers,Ogu–Bolo,1524,7103,310,528
Rivers,Okrika,2719,10342,822,1719
Rivers,Omuma,2127,8760,804,234
Rivers,Opobo–Nkoro,1246,11538,159,246
Rivers,Oyigbo,2793,9886,796,3086
Rivers,Port Harcourt,8954,26892,3974,6689
Rivers,Tai,295,9276,508,148
