state,lga,apc,pdp
Sokoto,Sokoto South,37114,33363
Sokoto,Wamakko,36233,27642
Sokoto,Sokoto North,35333,33190
Sokoto,Tambuwal,29489,32779
Sokoto,Sabon Birni,26884,20680
Sokoto,Illela,23484,19169
Sokoto,Dange Shuni,22690,18506
Sokoto,Gada,19969,18434
Sokoto,Gwadabawa,19036,16652
Sokoto,Bodinga,18986,16440
Sokoto,Kware,18644,18161
Sokoto,Wurno,17350,13099
Sokoto,Goronyo,16567,17323
Sokoto,Tangaza,16254,9705
Sokoto,Isa,13632,15117
Sokoto,Kebbe,14902,14619
Sokoto,Yabo,14729,12014
Sokoto,Shagari,14264,13893
Sokoto,Binji,13410,11078
Sokoto,Rabah,12759,11120
Sokoto,Gudu,12118,10718
Sokoto,Silame,9983,10885
Sokoto,Tureta,9831,10045
