state,lga,a,aa,aac,adc,adp,apc,apga,apm,app,bp,lp,nnpp,nrm,pdp,prp,sdp,ypp,zlp
Taraba,Wukari,,,,,,4387,,,,,,15230,,52024,,,,
Taraba,Jalingo,63,143,14,65,64,5994,76,136,35,16,441,49424,56,20769,212,2381,148,110
Taraba,Gassol,7,119,2,35,20,3430,44,48,12,5,305,42825,22,10206,47,3536,87,15
Taraba,Ussa,2,1,1,34,49,23315,99,10,1,,57,103,8,6933,3997,668,2,1
Taraba,Donga,,,,,,22493,,,,,,,,10470,,,,
Taraba,Zing,18,28,37,92,78,7299,123,87,35,17,107,2919,106,20182,60,254,98,28
Taraba,Karim-Lamido,,,,,,6583,,,,,,12323,,18140,,,,
Taraba,Bali,17,261,15,46,46,7183,413,74,10,9,192,15330,45,16126,202,497,71,17
Taraba,Ibi,1,111,5,20,10,2416,178,40,6,5,76,15564,16,8334,11,628,60,6
Taraba,Ardo-Kola,5,3,4,23,23,2343,396,74,4,3,153,14577,44,15034,25,1607,62,16
Taraba,Lau,4,8,4,51,117,5079,32,46,5,5,118,10196,56,13368,23,631,31,4
Taraba,Yorro,19,48,30,84,59,5282,217,100,201,18,281,4072,17,11880,72,3328,99,79
Taraba,Kurmi,,,,,,8826,,,,,,370,,10579,,,,
Taraba,Gashaka,4,11,11,26,33,4849,140,51,14,7,93,3226,20,5809,13,122,67,10
