state,lga,aa,adc,adp,apc,apm,app,lp,nnpp,pdp,sdp,ypp
Yobe,Nguru,15,174,84,22459,37,16,18,310,9332,10,20
Yobe,Bade,13,49,111,21370,62,9,18,1254,10766,3,22
Yobe,Damaturu,57,43,102,20877,66,22,22,217,7655,13,12
Yobe,Gujba,9,48,60,20252,52,13,8,464,2428,96,6
Yobe,Nangere,17,80,97,18346,72,15,33,450,6958,146,48
Yobe,Gulani,410,44,63,16244,51,14,4,114,5537,13,16
Yobe,Yusufari,12,20,57,16216,62,27,19,222,3837,10,13
Yobe,Geidam,,,,14495,,,,355,1777,,
Yobe,Bursari,11,26,78,13825,66,58,11,97,4879,14,19
Yobe,Yunusari,11,26,78,13825,66,58,11,97,4879,14,19
Yobe,Machina,14,20,82,11039,79,15,18,262,4288,16,37
Yobe,Tarmuwa,2,17,49,8249,34,13,6,85,,10,5
