state,lga,apc,pdp,lp,apga,nrm,reg_voters,acc_voters,valid,rejected,total
Zamfara,Birnin Magaji,9643,8991,,,,101360,19265,18846,400,19246
Zamfara,Maradun,24855,12261,,,,104819,38435,37297,451,37748
Zamfara,Maru,10646,22036,,,,117921,34844,33421,765,34186
Zamfara,Gusau,32172,64710,,,,305130,104063,98003,2451,
Zamfara,Kaura Namoda,26472,31236,,,,146883,60022,58355,779,59134
Zamfara,Shinkafi,13408,13435,5,14,287,93082,28191,,,
Zamfara,Tsafe,25805,42188,,,,,,,,
Zamfara,Bakura,41063,19455,,,,113089,62102,,,
Zamfara,Talata Mafara,41280,22236,,,,148098,66211,64817,717,65534
Zamfara,Gummi,20263,27929,,,,125411,50422,48394,565,48959
Zamfara,Bungudu,24865,47464,,,,183981,76238,73990,1288,75278
Zamfara,Zurmi,21027,24328,,,,129278,46668,45669,861,46530
Zamfara,Bukkuyum,10321,24341,,,,98651,36718,34943,472,35415
Zamfara,Anka,10156,17116,,,,82195,27877,27462,404,27866
