state,candidate,party,votes,percent,source
Abia,Okezie Victor Ikpeazu,People's Democratic Party (PDP),261127.0,60.26,results_table
Abia,Uchechukwu Sampson Ogah,All Progressives Congress (APC),99574.0,22.98,results_table
Abia,Alex Otti,All Progressives Grand Alliance (APGA),64366.0,14.85,results_table
Abia,Hon. (Mrs) Blessing Nwagba,Social Democratic Party (SDP),2191.0,0.51,results_table
Abia,Okoronkwo Fortunes Paul,Providence People's Congress (PPC),1044.0,0.24,results_table
Abia,Chukwudi Nnabugwu,People's Party of Nigeria (PPN),624.0,0.14,results_table
Abia,Okey Okoro Udo,Action Democratic Party (ADP),522.0,0.12,results_table
Abia,Igara Ceekay Kalu,Labour Party (LP),520.0,0.12,results_table
Abia,Madu Anthony Chukwuonye,People for Democratic Change (PDC),442.0,0.1,results_table
Abia,Obinna Kelenna,African Democratic Congress (ADC),333.0,0.08,results_table
Abia,Igwo Nnanna Okpan,All Grassroots Alliance (AGA),293.0,0.07,results_table
Abia,Orji Kingsley,Zenith Labour Party (ZLP),291.0,0.07,results_table
Abia,Ulunwa Utokannandu Morgan,Alliance National Party (ANP),289.0,0.07,results_table
Abia,Ubani Vincent Anthony,African Action Congress (AAC),254.0,0.06,results_table
Abia,Onuoha Uko Igwe,All Grand Alliance Party (AGAP),247.0,0.06,results_table
Abia,Opara Alphonsius Obinna,Advanced Congress of Democrats (ACD),166.0,0.04,results_table
Abia,Francis Onugu Ukwu,United Progressive Party (UPP),151.0,0.03,results_table
Abia,Umeh Charles Okezi,Action Peoples Party (APP),138.0,0.03,results_table
Abia,Udeagha Rose Uzoaru,Mega Party of Nigeria (MPN),124.0,0.03,results_table
Abia,Benson Chibunna Onyekachi,Kowa Party (KP),102.0,0.02,results_table
Abia,Nkoro Joseph Ngozi,Young Progressive Party (YPP),100.0,0.02,results_table
Abia,Ahaiwe Udochukwu Elvis,Restoration Party of Nigeria (RP),89.0,0.02,results_table
Abia,Awa Ezekiel Anya,People's Trust (PT),53.0,0.01,results_table
Abia,Emeka Uwakolam,Accord (A),43.0,0.01,results_table
Abia,Charles Okechukwu Okereke,Justice Must Prevail Party (JMPP),40.0,0.01,results_table
Abia,Gilbert Chikezie Chris,Independent Democrats (ID),38.0,0.01,results_table
Abia,Chijioke Owanta,Alliance of Social Democrats (ASD),35.0,0.01,results_table
Abia,Annyalewachi Nwaozuru,Green Party of Nigeria (GPN),33.0,0.01,results_table
Abia,Michael Imojo Ndu,Alliance for a United Nigeria (AUN),29.0,0.01,results_table
Abia,Paul Chinedu Emmanuel,Fresh Democratic Party (FRESH),22.0,0.01,results_table
Abia,Chinwuba Queen Edith Asikaralinoun,Change Advocacy Party (CAP),21.0,0.0,results_table
Abia,Obasi Heavens Ugochukwu,Democratic Alternative (DA),14.0,0.0,results_table
Adamawa,Ahmadu Umaru Fintiri,People's Democratic Party,376552.0,43.22,results_table
Adamawa,Bindo Jibrilla,All Progressives Congress,336386.0,38.61,results_table
Adamawa,Other candidates,,158369.0,18.18,results_table
Akwa Ibom,Udom Gabriel Emmanuel,People's Democratic Party,519712.0,74.64,results_table
Akwa Ibom,Nsima Ekere,All Progressives Congress,171978.0,24.7,results_table
Akwa Ibom,Other candidates,,4555.0,0.65,results_table
Bayelsa,David Lyon,All Progressives Congress,352552.0,70.57,results_table
Bayelsa,Douye Diri,People's Democratic Party,143172.0,28.66,results_table
Bayelsa,Other candidates,,3827.0,0.77,results_table
Benue,Samuel Ortom,People's Democratic Party,434473.0,52.29,results_table
Benue,Emmanuel Jime,All Progressives Congress,345155.0,41.54,results_table
Benue,Other candidates,,51326.0,6.18,results_table
Borno,Babagana Umara Zulum,All Progressives Congress,1175440.0,92.78,results_table
Borno,Mohammad Imam,People's Democratic Party,66115.0,5.22,results_table
Borno,Other candidates,,25412.0,2.01,results_table
Cross River,Ayade Benedict Bengiousuye,People's Democratic Party (PDP),381484.0,73.04,results_table
Cross River,John Owan Enoh,All Progressives Congress (APC),131161.0,25.11,results_table
Cross River,Eyo Ekpo O.,Social Democratic Party (SDP),4818.0,0.92,results_table
Cross River,Ntan Ebaye Ekpa,National Conscience Party (NCP),1092.0,0.21,results_table
Cross River,Edward Eniad Ugbe,Action Democratic Party (ADP),648.0,0.12,results_table
Cross River,Ushie Tony Ashibesibe,African Democratic Congress (ADC),490.0,0.09,results_table
Cross River,Charles Inah Okoi,Alliance of Social Democrats (ASD),360.0,0.07,results_table
Cross River,Undie Emmanuel Ugbong,Young Democratic Party (YDP),345.0,0.07,results_table
Cross River,Ali Patrick,Progressive Peoples Alliance (PPA),305.0,0.06,results_table
Cross River,Ezama Castro Adoga,Young Progressive Party (YPP),271.0,0.05,results_table
Cross River,Uzong George Moses,All Blending Party (ABP),262.0,0.05,results_table
Cross River,Ngang Bassey Ngang,Democratic People's Party (DPP),244.0,0.05,results_table
Cross River,Ntami Nkanu Esege,People's Party of Nigeria (PPN),124.0,0.02,results_table
Cross River,Ofem Ubi Oka,Mega Party of Nigeria (MPN),109.0,0.02,results_table
Cross River,Arit Edet Aikpong,National Action Council (NAC),107.0,0.02,results_table
Cross River,Ebughe Kenneth,Alliance for Democracy (AD),95.0,0.02,results_table
Cross River,Omari Fredrick Eje,Justice Must Prevail Party (JMPP),78.0,0.01,results_table
Cross River,Michael Sunday,Independent Democrats (ID),60.0,0.01,results_table
Cross River,Ubi Hossana Ukonu,Democratic Peoples Congress (DPC),52.0,0.01,results_table
Cross River,Godwin Daniel Pastor,Mass Action Joint Alliance (MAJA),49.0,0.01,results_table
