state,constituency,code,sn,candidate,gender,party,votes,remark,source_file
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,1,IFEANYI NWOSU CHIOMA ADAORA,F,A,1,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,2,OKPECHI ADANNE H.,F,ADC,20,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,3,MASCOT UZOR KALU,M,APC,3465,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,4,OSSY EHIRIODO OSSY PRESTIGE CHINEDU,M,APGA,17496,DECLARED ELECTED,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,5,ONWUTUEBE MICHEAL ODOCHUKWU,M,LP,18,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,6,IZUOGU AMAKA,F,MPN,26,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,7,UZO AZUBUIKE,M,PDP,11009,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,8,EHILEGBU CHISOM,M,PT,48,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,9,OKORONKWO EMMANUEL,M,SDP,45,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,10,AGBOWO JOSHUA IKEMEFUNA,M,UPP,8,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,ABA NORTH/ABA SOUTH,FC/001/AB,11,TOMOTHY IHEMEGO,M,ZLP,3,,Abia_ABA-NORTH-ABA-SOUTH.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,1,UWAKOLAM JANET,F,A,9,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,2,OKORO NWANNA IRO,M,ADC,15,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,3,NNACHI UKA CECILIA,F,ANP,17,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,4,NNAMDI IRO OJI,M,APC,5496,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,5,OKWARA IBE OSONWA,M,APGA,4033,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,6,IGWE NNENNE,F,DA,0,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,7,CHIBUEZE PAUL DIKE,M,DPP,5,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,8,U. OKECHUKWU WILSON COMRADE,M,JMPP,0,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,9,KALU NKECHI IBEM,F,LP,31,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,10,OBUBA NDUKWE NDUKWE,M,NCP,12,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,11,HON. NKOLE UKO NDUKWE,M,PDP,5723,DECLARED ELECTED,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,12,ONYEMA IRO,M,PPC,92,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,13,MADAKA CHIDUBEA,M,PT,45,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,14,NKATA CHARLES,M,SDP,1001,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,15,OCHONMA STEPHEN UGBOGU,M,UPP,23,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,AROCHUKWU/OHAFIA,FC/002/AB,16,JOJ NWACHUKWU,M,ZLP,4,,Abia_AROCHUKWU-OHAFIA.pdf
Abia,BENDE,FC/003/AB,1,KANU IHUOMA VERA,F,A,0,,Abia_BENDE.pdf
Abia,BENDE,FC/003/AB,2,ONUMAEGBU EMMANUEL O.,M,ADC,20,,Abia_BENDE.pdf
Abia,BENDE,FC/003/AB,3,BENJAMIN OKEZE KALU,M,APC,9138,DECLARED ELECTED,Abia_BENDE.pdf
Abia,BENDE,FC/003/AB,4,UGBOAJA OKECHUKWU EMMANUEL,M,APGA,2893,,Abia_BENDE.pdf
Abia,BENDE,FC/003/AB,5,ANYASO CHIMOBI DESMOND,M,PDP,5591,,Abia_BENDE.pdf
