state,candidate,party,votes,percent,source
Abia,Muhammadu Buhari,APC,85058.0,26.31,national_by_state_table
Abia,Atiku Abubakar,PDP,219698.0,67.96,national_by_state_table
Abia,Felix Nicolas,PCP,1489.0,0.46,national_by_state_table
Abia,Obadiah Mailafia,ADC,336.0,0.1,national_by_state_table
Abia,Gbor Terwase,AAC,9638.0,2.98,national_by_state_table
Abia,Others,,7072.0,2.19,national_by_state_table
Adamawa,Muhammadu Buhari,APC,378078.0,46.59,national_by_state_table
Adamawa,Atiku Abubakar,PDP,410266.0,50.55,national_by_state_table
Adamawa,Felix Nicolas,PCP,3670.0,0.45,national_by_state_table
Adamawa,Obadiah Mailafia,ADC,3989.0,0.49,national_by_state_table
Adamawa,Gbor Terwase,AAC,159.0,0.02,national_by_state_table
Adamawa,Others,,15372.0,1.89,national_by_state_table
Akwa Ibom,Muhammadu Buhari,APC,175429.0,30.31,national_by_state_table
Akwa Ibom,Atiku Abubakar,PDP,395832.0,68.39,national_by_state_table
Akwa Ibom,Felix Nicolas,PCP,1902.0,0.33,national_by_state_table
Akwa Ibom,Obadiah Mailafia,ADC,230.0,0.04,national_by_state_table
Akwa Ibom,Gbor Terwase,AAC,61.0,0.01,national_by_state_table
Akwa Ibom,Others,,5321.0,0.92,national_by_state_table
Anambra,Muhammadu Buhari,APC,33298.0,5.5,national_by_state_table
Anambra,Atiku Abubakar,PDP,524738.0,86.63,national_by_state_table
Anambra,Felix Nicolas,PCP,4374.0,0.72,national_by_state_table
Anambra,Obadiah Mailafia,ADC,227.0,0.04,national_by_state_table
Anambra,Gbor Terwase,AAC,30034.0,4.96,national_by_state_table
Anambra,Others,,13063.0,2.16,national_by_state_table
Bauchi,Muhammadu Buhari,APC,798428.0,77.95,national_by_state_table
Bauchi,Atiku Abubakar,PDP,209313.0,20.43,national_by_state_table
Bauchi,Felix Nicolas,PCP,2104.0,0.21,national_by_state_table
Bauchi,Obadiah Mailafia,ADC,296.0,0.03,national_by_state_table
Bauchi,Gbor Terwase,AAC,149.0,0.01,national_by_state_table
Bauchi,Others,,14017.0,1.37,national_by_state_table
Bayelsa,Muhammadu Buhari,APC,118821.0,36.93,national_by_state_table
Bayelsa,Atiku Abubakar,PDP,197933.0,61.51,national_by_state_table
Bayelsa,Felix Nicolas,PCP,1584.0,0.49,national_by_state_table
Bayelsa,Obadiah Mailafia,ADC,1078.0,0.34,national_by_state_table
Bayelsa,Gbor Terwase,AAC,53.0,0.02,national_by_state_table
Bayelsa,Others,,2298.0,0.71,national_by_state_table
Benue,Muhammadu Buhari,APC,347668.0,47.7,national_by_state_table
Benue,Atiku Abubakar,PDP,356817.0,48.95,national_by_state_table
Benue,Felix Nicolas,PCP,2793.0,0.38,national_by_state_table
Benue,Obadiah Mailafia,ADC,554.0,0.08,national_by_state_table
Benue,Gbor Terwase,AAC,4582.0,0.63,national_by_state_table
Benue,Others,,16498.0,2.26,national_by_state_table
Borno,Muhammadu Buhari,APC,836496.0,90.94,national_by_state_table
Borno,Atiku Abubakar,PDP,71788.0,7.8,national_by_state_table
Borno,Felix Nicolas,PCP,1563.0,0.17,national_by_state_table
Borno,Obadiah Mailafia,ADC,301.0,0.03,national_by_state_table
Borno,Gbor Terwase,AAC,187.0,0.02,national_by_state_table
Borno,Others,,9451.0,1.03,national_by_state_table
Cross River,Muhammadu Buhari,APC,117302.0,27.8,national_by_state_table
Cross River,Atiku Abubakar,PDP,295737.0,70.1,national_by_state_table
Cross River,Felix Nicolas,PCP,2033.0,0.48,national_by_state_table
Cross River,Obadiah Mailafia,ADC,326.0,0.08,national_by_state_table
Cross River,Gbor Terwase,AAC,43.0,0.01,national_by_state_table
Cross River,Others,,6460.0,1.53,national_by_state_table
Delta,Muhammadu Buhari,APC,221292.0,26.67,national_by_state_table
Delta,Atiku Abubakar,PDP,594068.0,71.59,national_by_state_table
Delta,Felix Nicolas,PCP,2753.0,0.33,national_by_state_table
Delta,Obadiah Mailafia,ADC,1075.0,0.13,national_by_state_table
Delta,Gbor Terwase,AAC,145.0,0.02,national_by_state_table
Delta,Others,,10429.0,1.26,national_by_state_table
Ebonyi,Muhammadu Buhari,APC,90726.0,25.26,national_by_state_table
Ebonyi,Atiku Abubakar,PDP,258573.0,72.0,national_by_state_table
Ebonyi,Felix Nicolas,PCP,1637.0,0.46,national_by_state_table
Ebonyi,Obadiah Mailafia,ADC,213.0,0.06,national_by_state_table
Ebonyi,Gbor Terwase,AAC,222.0,0.06,national_by_state_table
Ebonyi,Others,,7760.0,2.16,national_by_state_table
Edo,Muhammadu Buhari,APC,267842.0,47.77,national_by_state_table
Edo,Atiku Abubakar,PDP,275691.0,49.17,national_by_state_table
Edo,Felix Nicolas,PCP,3526.0,0.63,national_by_state_table
Edo,Obadiah Mailafia,ADC,850.0,0.15,national_by_state_table
Edo,Gbor Terwase,AAC,143.0,0.03,national_by_state_table
Edo,Others,,12659.0,2.26,national_by_state_table
Ekiti,Muhammadu Buhari,APC,219231.0,57.52,national_by_state_table
Ekiti,Atiku Abubakar,PDP,154032.0,40.41,national_by_state_table
Ekiti,Felix Nicolas,PCP,2299.0,0.6,national_by_state_table
Ekiti,Obadiah Mailafia,ADC,406.0,0.11,national_by_state_table
Ekiti,Gbor Terwase,AAC,39.0,0.01,national_by_state_table
Ekiti,Others,,5125.0,1.34,national_by_state_table
Enugu,Muhammadu Buhari,APC,54423.0,12.93,national_by_state_table
Enugu,Atiku Abubakar,PDP,355553.0,84.45,national_by_state_table
Enugu,Felix Nicolas,PCP,2337.0,0.56,national_by_state_table
Enugu,Obadiah Mailafia,ADC,348.0,0.08,national_by_state_table
Enugu,Gbor Terwase,AAC,1618.0,0.38,national_by_state_table
Enugu,Others,,6735.0,1.6,national_by_state_table
F.C.T.,Muhammadu Buhari,APC,152224.0,35.91,national_by_state_table
F.C.T.,Atiku Abubakar,PDP,259997.0,61.33,national_by_state_table
F.C.T.,Felix Nicolas,PCP,2921.0,0.69,national_by_state_table
F.C.T.,Obadiah Mailafia,ADC,246.0,0.06,national_by_state_table
F.C.T.,Gbor Terwase,AAC,255.0,0.06,national_by_state_table
F.C.T.,Others,,8308.0,1.96,national_by_state_table
Gombe,Muhammadu Buhari,APC,402961.0,72.71,national_by_state_table
Gombe,Atiku Abubakar,PDP,138484.0,24.99,national_by_state_table
Gombe,Felix Nicolas,PCP,1679.0,0.3,national_by_state_table
Gombe,Obadiah Mailafia,ADC,248.0,0.04,national_by_state_table
Gombe,Gbor Terwase,AAC,124.0,0.02,national_by_state_table
Gombe,Others,,10707.0,1.93,national_by_state_table
Imo,Muhammadu Buhari,APC,140463.0,27.46,national_by_state_table
Imo,Atiku Abubakar,PDP,334923.0,65.47,national_by_state_table
Imo,Felix Nicolas,PCP,4883.0,0.95,national_by_state_table
Imo,Obadiah Mailafia,ADC,541.0,0.11,national_by_state_table
Imo,Gbor Terwase,AAC,10880.0,2.13,national_by_state_table
Imo,Others,,19896.0,3.89,national_by_state_table
Jigawa,Muhammadu Buhari,APC,794738.0,71.84,national_by_state_table
Jigawa,Atiku Abubakar,PDP,289895.0,26.21,national_by_state_table
Jigawa,Felix Nicolas,PCP,2761.0,0.25,national_by_state_table
Jigawa,Obadiah Mailafia,ADC,261.0,0.02,national_by_state_table
Jigawa,Gbor Terwase,AAC,140.0,0.01,national_by_state_table
Jigawa,Others,,18449.0,1.67,national_by_state_table
Kaduna,Muhammadu Buhari,APC,993445.0,59.72,national_by_state_table
Kaduna,Atiku Abubakar,PDP,649612.0,39.05,national_by_state_table
Kaduna,Felix Nicolas,PCP,4027.0,0.24,national_by_state_table
Kaduna,Obadiah Mailafia,ADC,558.0,0.03,national_by_state_table
