state,district,candidate,party,votes,percent,source
FCT,FCT,Philips Tanimu Adada,nan,,,winner_only
Abia,Abia South,Enyinnaya Abaribe,PDP,53086.0,,results_table
Abia,Abia South,Chris Nkwota,APC,27998.0,,results_table
Abia,Abia Central,Theodore Orji,PDP,55461.0,,results_table
Abia,Abia Central,Nkechi Nwaogu,APC,29860.0,,results_table
Abia,Abia North,Orji Uzor Kalu,APC,31201.0,,results_table
Abia,Abia North,Mao Ohuabunwa,PDP,20801.0,,results_table
Adamawa,Adamawa South,Binos Dauda Yaroe,PDP,144403.0,,results_table
Adamawa,Adamawa South,Abubakar Ahmad Mdallahyidi,APC,118129.0,,results_table
Adamawa,Adamawa Central,Aishatu Dahiru Ahmed,APC,188526.0,,results_table
Adamawa,Adamawa Central,Modibbo Murtala Mohammed,PDP,96530.0,,results_table
Adamawa,Adamawa North,Ishaku Elisha Abbo,PDP,79337.0,,results_table
Adamawa,Adamawa North,Binta Garba,APC,63219.0,,results_table
Akwa Ibom,Akwa Ibom South,Akon Etim Eyakenyi,PDP,122412.0,,results_table
Akwa Ibom,Akwa Ibom South,Nelson Effiong,APC,44053.0,,results_table
Akwa Ibom,Akwa Ibom North-East,Bassey Akpan,PDP,147731.0,,results_table
Akwa Ibom,Akwa Ibom North-East,Bassey Etim,APC,60930.0,,results_table
Akwa Ibom,Akwa Ibom North-West,Christopher Ekpenyong,PDP,118215.0,,results_table
Akwa Ibom,Akwa Ibom North-West,Goodswill Akpabio,APC,83158.0,,results_table
Anambra,Anambra South,Ifeanyi Ubah,YPP,87081.0,,results_table
Anambra,Anambra South,Chris Ubah,PDP,52462.0,,results_table
Anambra,Anambra North,Stella Oduah,PDP,113989.0,,results_table
Anambra,Anambra North,Chinedu Emeka,APGA,59937.0,,results_table
Anambra,Anambra Central,Uche Ekwunife,PDP,118484.0,,results_table
Anambra,Anambra Central,Victor Umeh,APC,81429.0,,results_table
Bauchi,Bauchi South,Lawal Yahaya Gumau,APC,250725.0,,results_table
Bauchi,Bauchi South,Dahiru Garba,PDP,175527.0,,results_table
Bauchi,Bauchi Central,Halliru Dauda Jika,APC,128871.0,,results_table
Bauchi,Bauchi Central,Hammah Issah,PDP,57069.0,,results_table
Bauchi,Bauchi North,Adamu Bulkachuwa,APC,110631.0,,results_table
Bauchi,Bauchi North,Suleiman Nazif,PDP,56379.0,,results_table
Bayelsa,Bayelsa Central,Douye Diri,PDP,83978.0,53.88,results_table
Bayelsa,Bayelsa Central,Festus Daumiebi,APC,70998.0,45.55,results_table
Bayelsa,Bayelsa West,Lawrence Ewhrudjakpo,PDP,49912.0,70.92,results_table
Bayelsa,Bayelsa West,Matthew Karimo,APC,20219.0,28.73,results_table
Bayelsa,Bayelsa East,Biobarakuma Degi,APC,43303.0,45.71,results_table
Bayelsa,Bayelsa East,Ipigansi Izagara,PDP,32363.0,34.16,results_table
Benue,Benue South,Patrick Abba Moro,nan,,,winner_only
Benue,Bauchi North-East,Gabriel Suswam,nan,,,winner_only
Benue,Bauchi North-West,Emmanuel Yisa Orker-Jev,nan,,,winner_only
Borno,Bornu Central,Kashim Shettima,APC,342898.0,80.9,results_table
Borno,Bornu Central,Muhammed Abba-Aji,PDP,75569.0,17.8,results_table
Borno,Bornu North,Kyari Abubakar Shaib,APC,76963.0,67.69,results_table
Borno,Bornu North,Isa Lawan,PDP,36042.0,31.7,results_table
Borno,Bornu South,Ndume Mohammed Ali,APC,300637.0,75.53,results_table
Borno,Bornu South,Kudla Milinda Satumari,PDP,84608.0,21.25,results_table
Cross River,Cross River Central,Ndoma Egba,APC,60298.0,42.61,results_table
Cross River,Cross River Central,Sandy Ojang Onoh,PDP,80134.0,56.63,results_table
Cross River,Cross River North,Wabily Nyiam,APC,36129.0,26.23,results_table
Cross River,Cross River North,Sandy Rose,PDP,100967.0,73.32,results_table
Cross River,Cross River South,Prince Otu,APC,63250.0,44.5,results_table
Cross River,Cross River South,Bassey Gershom Henry,PDP,77478.0,36.69,results_table
Delta,Delta South,James Manager,PDP,257812.0,66.15,results_table
Delta,Delta South,Emmanuel Uduaghan,APC,125752.0,32.27,results_table
Delta,Delta Central,Ovie Omo-Agege,APC,111100.0,51.34,results_table
Delta,Delta Central,Evelyn Omavowan Oboro,PDP,99422.0,45.94,results_table
Delta,Delta North,Peter Nwaoboshi,PDP,186423.0,82.23,results_table
Delta,Delta North,Doris Uboh,APC,36350.0,16.03,results_table
Ebonyi,Ebonyi South,Michael Ama-Nnachi,PDP,103751.0,,results_table
Ebonyi,Ebonyi South,Prince Nwaeze Onu,APC,19663.0,,results_table
Ebonyi,Ebonyi Central,Joseph Ogba,PDP,62452.0,,results_table
Ebonyi,Ebonyi Central,Julius Ucha,APC,46672.0,,results_table
Ebonyi,Ebonyi North,Sam Egwu,PDP,80711.0,,results_table
Ebonyi,Ebonyi North,Mathias Adum,APC,38734.0,,results_table
Edo,Edo Central,Inegbedion John Osagie,APC,49158.0,42.86,results_table
Edo,Edo Central,Ordia Akhimienmona Clifford,PDP,56048.0,46.36,results_table
Edo,Edo South,Obahiagbon Patrick,APC,1211957.0,46.9,results_table
