state,district,code,sn,candidate,gender,party,votes,remark,source_file
Abia,ABIA CENTRAL,SD/002/AB,1,EHICHANYA OBINNAYA,M,A,40,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,2,NWOKO QUINET IFUNANYACHUKWU,F,ACD,76,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,3,IKECHUKWU EVEREST EGEONU,M,ADC,297,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,4,NWAOGU NKECHI JUSTINA WOKOCHA,F,APC,29860,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,5,AJAEGBU CHIDI ONYEUKWU,M,APGA,19534,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,6,UGOCHUKWU DENNAR,M,DA,68,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,7,UGWA IFEYINWA ADANNE,F,FJP,62,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,8,OCHUAJA STEPHEN,M,GPN,14,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,9,OKOCHUKWU UWAEME,M,JMPP,50,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,10,UGELE UCHECHUKWU EMMANUEL,M,LP,365,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,11,ORJI THEODORE AHAMFULE,M,PDP,55461,Declared Elected,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,12,OVUFE CHIGEKWU,M,PT,114,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,13,NWOSU CHIDI,M,SDP,753,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,14,NWOSU OZOEMELAM KENNETH,M,UPP,98,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA CENTRAL,SD/002/AB,15,ESONU DANIEL,M,ZLP,29,,Abia_ABIA-CENTRAL.pdf
Abia,ABIA NORTH,SD/001/AB,1,EZUMA ODILICHUKWU,MALE,ADC,170,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,2,UKWA ORJI UKIWE EMEKA,MALE,ANP,93,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,3,KALU ORJI UZOR,MALE,APC,31201,Declared Elected,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,4,ONUOHA BOURDEX DAVID OGBA,MALE,APGA,11410,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,5,MR OBINNA ELENDU,MALE,DA,46,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,6,AGUKU JOHN A.,MALE,ID,15,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,7,EGBEBU KALU NMAJU,MALE,LP,130,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,8,OHUABUNWA ARUKWE MAO,MALE,PDP,20801,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,9,JAMES JUSTICE MADUA,MALE,PPC,76,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,10,OBIAMA NWAFOR MBA,MALE,PT,38,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,11,NWEKE CHUKWUDI,MALE,RBNP,37,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,12,ENYIOMA AMBROSE UCHENNA,MALE,RP,27,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,13,IGBOKWE CHINYERE,MALE,SDP,429,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,14,UDE CHARLES,MALE,UDP,5,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,15,NWAKWUO VICTOR UGICHUKWU,MALE,UPP,37,,Abia_ABIA-NORTH.pdf
Abia,ABIA NORTH,SD/001/AB,16,CHIDIEBERE NWANNOH,MALE,ZLP,21,,Abia_ABIA-NORTH.pdf
Abia,ABIA SOUTH,SD/003/AB,1,OGBUGO CHINEDU OLEDI UWA,F,ADC,295,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,2,UCHEAGWU IJEOMA MORGAN,F,ANP,57,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,3,WABARA INYANAGBO MARCUS,M,APC,9419,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,4,NKWONTA CHRIS,M,APGA,27998,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,5,GALDRE EZE,M,DA,75,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,6,MGBEMENA IFEANYI UDUEZE,M,JMPP,1,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,7,IJOMA MOSES OKEY,M,LP,534,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,8,ABARIBE ENYINNAYA HARCOURT,M,PDP,53086,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,9,ADIKWUM JOHN C,M,PT,30,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,10,CHIGOZIRIM INNOCENT AHAIWE,M,RP,20,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,11,NWANKWOJI DENNIS NWANOSIKE,M,SDP,711,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,12,MADUFORO DAVID CHINEDU,M,UPP,283,,Abia_ABIA-SOUTH.pdf
Abia,ABIA SOUTH,SD/003/AB,13,JOSEPHINE OSONDU,F,ZLP,24,,Abia_ABIA-SOUTH.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,1,HUSSAINI KOLO,MALE,ACD,714,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,2,MUSTAPHA UMAR MADAWAKI,MALE,ADC,36030,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,3,GARBA AHAJI SALIHU,MALE,ANP,1553,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,4,DAHIRU AISHATU AHMED,FEMALE,APC,188526,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,5,ILIYASU MUSTAPHA,MALE,DA,479,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,6,COMRADE ALFRED AFRICANUS,MALE,JMPP,578,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,7,SHALLANGWA BUNU MAHMUD,MALE,KP,355,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,8,YUSUF GIFT SHALLANGWA,FEMALE,NPM,653,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,9,MODIBBO MURTALA MOHAMMED,MALE,PDP,96530,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,10,ILIYASU SHUAIBU,MALE,PPN,341,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,11,YERIMA DANTATA,MALE,PT,255,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA CENTRAL,SD/006/AD,12,ISMAILA YAMUSA,MALE,SDP,4065,,Adamawa_ADAMAWA-CENTRAL.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,1,CHARLES DANIEL,MALE,ACD,237,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,2,PAWA MAYRAM E.,FEMALE,ADC,13001,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,3,WADUMNA WABULARI,FEMALE,AGA,794,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,4,GARBA MASI BINTA,FEMALE,APC,63219,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,5,ISA AHMED HATYATU,MALE,APDA,301,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,6,SHEIK IBRAHIM MUHAMMAD,MALE,APM,237,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,7,MICHIKA SAIFUL-MULUK SALEH,MALE,ASD,1100,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,8,SHARHABILU IYAH,MALE,DA,78,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,9,LYDIA ZIRA,FEMALE,JMPP,99,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,10,ISHAKU ELISHA CLIFF,MALE,PDP,79337,ELECTED,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,11,MARK MOSES,MALE,PPC,191,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,12,ZIRA AMOS KWADA,MALE,PPN,76,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,13,VANDI FILLIE,MALE,PT,53,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,14,BUBA ABDULRAHMAN,MALE,SDP,19627,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA NORTH,SD/004/AD,15,IBRAHIM TIZHE JAMES,MALE,YPP,75,,Adamawa_ADAMAWA-NORTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,1,NJIDDA ISMAILA,M,AA,132,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,2,ZACHARY USMAN TAHIRU,M,ABP,340,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,3,BULUS GODIYA,F,ACD,582,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,4,PATRICIA SEUBITTERRE YAKUBU,F,ADC,17423,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,5,ABUBAKAR AHMAD MDALLAHYIDI,M,APC,118130,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,6,AUWAL GARBA,M,DA,338,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,7,HAMIS BN ABDULKARIM,M,KP,1088,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,8,AMINU MUHAMMAD BALA,M,MRDD,178,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,9,YAROE BINOS DAUDA,M,PDP,164741,ELECTED,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,10,YONGO ANTHONY TOUGH,M,PPC,1866,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,11,MBASALA REUBEN BASHAN,M,PPN,245,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,12,NUHU AGNESS,F,PT,175,,Adamawa_ADAMAWA-SOUTH.pdf
Adamawa,ADAMAWA SOUTH,SD/005/AD,13,MAHALAILU CALVIN ERISON,M,SDP,3005,,Adamawa_ADAMAWA-SOUTH.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,1,EKPO EMMANUEL IME,MALE,AAP,166,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,2,PRINCE WISDOM NYONG OBOT,MALE,AGAP,110,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,3,ETIM BASSEY EFFIONG,MALE,APC,60930,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,4,IBOK EMMANUEL LAWRENCE,MALE,CNP,73,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,5,EBIJE MICHEL O,MALE,DA,81,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,6,UDUAK ENEFIOR ESSIEN,FEMALE,DPP,187,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,7,EFFIOM OKON ACHIBONG,MALE,FJP,76,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,8,UDOH DAVID BASSEY,MALE,JMPP,54,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,9,UMOHUMOH IMOH EMEM,FEMALE,KP,46,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,10,EKPO IMOH GEORGE,MALE,MPN,175,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,11,AKPAN BASSEY ALBERT,MALE,PDP,147731,ELECTED,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,12,DR. DANIEL GREGORY U,MALE,PPN,165,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,13,THOMAS MFON FLAMINGO,FEMALE,ZLP,30,,Akwa-Ibom_AKWA-IBOM-NORTH-EAST.pdf
Akwa Ibom,AKWA IBOM NORTH WEST,SD/008/AK,1,OWOIDIGHE AMOS OKON,M,AAP,482,,Akwa-Ibom_AKWA-IBOM-NORTH-WEST.pdf
Akwa Ibom,AKWA IBOM NORTH WEST,SD/008/AK,2,ETOKUKO UDO-ABRAHAM,M,AD,46,,Akwa-Ibom_AKWA-IBOM-NORTH-WEST.pdf
Akwa Ibom,AKWA IBOM NORTH WEST,SD/008/AK,3,EFFIONG CHRISTOPER FRIDAY,M,AGAP,148,,Akwa-Ibom_AKWA-IBOM-NORTH-WEST.pdf
