state,lga,candidate,party,votes,percent
Bauchi,Alkaleri,Sadique Abubakar,APC,15798.0,29.89
Bauchi,Alkaleri,Halliru Dauda Jika,NNPP,2069.0,3.92
Bauchi,Alkaleri,Bala Mohammed,PDP,34387.0,65.06
Bauchi,Alkaleri,Other candidates,,598.0,1.13
Bauchi,Bauchi,Sadique Abubakar,APC,69850.0,43.95
Bauchi,Bauchi,Halliru Dauda Jika,NNPP,5749.0,3.62
Bauchi,Bauchi,Bala Mohammed,PDP,80390.0,50.59
Bauchi,Bauchi,Other candidates,,2920.0,1.84
Bauchi,Bogoro,Sadique Abubakar,APC,10436.0,33.82
Bauchi,Bogoro,Halliru Dauda Jika,NNPP,3253.0,10.54
Bauchi,Bogoro,Bala Mohammed,PDP,16589.0,53.77
Bauchi,Bogoro,Other candidates,,576.0,1.87
Bauchi,Damban,Sadique Abubakar,APC,11325.0,37.27
Bauchi,Damban,Halliru Dauda Jika,NNPP,4395.0,14.46
Bauchi,Damban,Bala Mohammed,PDP,13307.0,43.79
Bauchi,Damban,Other candidates,,1362.0,4.48
Bauchi,Darazo,Sadique Abubakar,APC,23544.0,49.52
Bauchi,Darazo,Halliru Dauda Jika,NNPP,3359.0,7.07
Bauchi,Darazo,Bala Mohammed,PDP,19736.0,41.51
Bauchi,Darazo,Other candidates,,901.0,1.9
Bauchi,Dass,Sadique Abubakar,APC,11596.0,40.95
Bauchi,Dass,Halliru Dauda Jika,NNPP,643.0,2.27
Bauchi,Dass,Bala Mohammed,PDP,14471.0,51.1
Bauchi,Dass,Other candidates,,1607.0,5.68
Bauchi,Gamawa,Sadique Abubakar,APC,22565.0,48.8
Bauchi,Gamawa,Halliru Dauda Jika,NNPP,1841.0,3.98
Bauchi,Gamawa,Bala Mohammed,PDP,21558.0,46.63
Bauchi,Gamawa,Other candidates,,272.0,0.59
Bauchi,Ganjuwa,Sadique Abubakar,APC,17606.0,37.55
Bauchi,Ganjuwa,Halliru Dauda Jika,NNPP,7387.0,15.76
Bauchi,Ganjuwa,Bala Mohammed,PDP,20924.0,44.63
Bauchi,Ganjuwa,Other candidates,,964.0,2.06
Bauchi,Giade,Sadique Abubakar,APC,18023.0,53.96
Bauchi,Giade,Halliru Dauda Jika,NNPP,1114.0,3.33
Bauchi,Giade,Bala Mohammed,PDP,14145.0,42.35
Bauchi,Giade,Other candidates,,119.0,0.36
Bauchi,Itas/Gadau,Sadique Abubakar,APC,16206.0,42.59
Bauchi,Itas/Gadau,Halliru Dauda Jika,NNPP,2913.0,7.65
Bauchi,Itas/Gadau,Bala Mohammed,PDP,18778.0,49.35
Bauchi,Itas/Gadau,Other candidates,,156.0,0.41
Bauchi,Jamaare,Sadique Abubakar,APC,11865.0,40.96
Bauchi,Jamaare,Halliru Dauda Jika,NNPP,3253.0,11.23
Bauchi,Jamaare,Bala Mohammed,PDP,13693.0,47.27
Bauchi,Jamaare,Other candidates,,154.0,0.53
Bauchi,Katagum,Sadique Abubakar,APC,35774.0,55.27
Bauchi,Katagum,Halliru Dauda Jika,NNPP,2376.0,3.67
Bauchi,Katagum,Bala Mohammed,PDP,25218.0,38.96
Bauchi,Katagum,Other candidates,,1360.0,2.1
Bauchi,Kirfi,Sadique Abubakar,APC,11631.0,40.36
Bauchi,Kirfi,Halliru Dauda Jika,NNPP,3571.0,12.39
Bauchi,Kirfi,Bala Mohammed,PDP,13454.0,46.69
Bauchi,Kirfi,Other candidates,,161.0,0.56
Bauchi,Misau,Sadique Abubakar,APC,26448.0,56.89
Bauchi,Misau,Halliru Dauda Jika,NNPP,1820.0,3.91
Bauchi,Misau,Bala Mohammed,PDP,16351.0,35.17
Bauchi,Misau,Other candidates,,1872.0,4.03
Bauchi,Ningi,Sadique Abubakar,APC,23795.0,41.16
Bauchi,Ningi,Halliru Dauda Jika,NNPP,4178.0,7.23
Bauchi,Ningi,Bala Mohammed,PDP,29515.0,51.06
Bauchi,Ningi,Other candidates,,316.0,0.55
Bauchi,Shira,Sadique Abubakar,APC,21644.0,43.5
Bauchi,Shira,Halliru Dauda Jika,NNPP,2536.0,5.1
Bauchi,Shira,Bala Mohammed,PDP,25373.0,51.0
Bauchi,Shira,Other candidates,,198.0,0.4
Bauchi,Tafawa Balewa,Sadique Abubakar,APC,22928.0,36.97
Bauchi,Tafawa Balewa,Halliru Dauda Jika,NNPP,3166.0,5.1
Bauchi,Tafawa Balewa,Bala Mohammed,PDP,35100.0,56.59
Bauchi,Tafawa Balewa,Other candidates,,833.0,1.34
Bauchi,Toro,Sadique Abubakar,APC,29848.0,29.71
Bauchi,Toro,Halliru Dauda Jika,NNPP,3634.0,3.62
Bauchi,Toro,Bala Mohammed,PDP,65456.0,65.16
Bauchi,Toro,Other candidates,,1517.0,1.51
Bauchi,Warji,Sadique Abubakar,APC,11783.0,34.31
Bauchi,Warji,Halliru Dauda Jika,NNPP,1812.0,5.28
Bauchi,Warji,Bala Mohammed,PDP,20416.0,59.44
Bauchi,Warji,Other candidates,,335.0,0.97
Bauchi,Zaki,Sadique Abubakar,APC,19637.0,41.25
Bauchi,Zaki,Halliru Dauda Jika,NNPP,1415.0,2.97
Bauchi,Zaki,Bala Mohammed,PDP,26420.0,55.5
Bauchi,Zaki,Other candidates,,133.0,0.28
Bayelsa,Brass,Timipre Sylva,APC,18431.0,59.05
Bayelsa,Brass,Douye Diri,PDP,12602.0,40.38
Bayelsa,Brass,Other candidates,,178.0,0.57
Bayelsa,Ekeremor,Timipre Sylva,APC,8445.0,26.61
Bayelsa,Ekeremor,Douye Diri,PDP,23172.0,73.0
Bayelsa,Ekeremor,Other candidates,,124.0,0.39
Bayelsa,Kolokuma/Opokuma,Timipre Sylva,APC,5344.0,22.34
Bayelsa,Kolokuma/Opokuma,Douye Diri,PDP,18465.0,77.2
Bayelsa,Kolokuma/Opokuma,Other candidates,,109.0,0.46
Bayelsa,Nembe,Timipre Sylva,APC,22248.0,82.29
Bayelsa,Nembe,Douye Diri,PDP,4556.0,16.85
Bayelsa,Nembe,Other candidates,,232.0,0.86
Bayelsa,Ogbia,Timipre Sylva,APC,16319.0,46.66
Bayelsa,Ogbia,Douye Diri,PDP,18435.0,52.72
Bayelsa,Ogbia,Other candidates,,217.0,0.62
Bayelsa,Sagbama,Timipre Sylva,APC,6608.0,15.56
Bayelsa,Sagbama,Douye Diri,PDP,35504.0,83.6
Bayelsa,Sagbama,Other candidates,,355.0,0.84
Bayelsa,Southern Ijaw,Timipre Sylva,APC,18174.0,42.11
Bayelsa,Southern Ijaw,Douye Diri,PDP,24685.0,57.2
Bayelsa,Southern Ijaw,Other candidates,,299.0,0.69
Bayelsa,Yenagoa,Timipre Sylva,APC,14534.0,27.4
Bayelsa,Yenagoa,Douye Diri,PDP,37777.0,71.21
Bayelsa,Yenagoa,Other candidates,,741.0,1.4
Benue,Ado,Hyacinth Alia,APC,8662.0,60.34
Benue,Ado,Herman Hembe,LP,308.0,2.15
Benue,Ado,Titus Uba,PDP,4379.0,30.5
Benue,Ado,Other candidates,,1006.0,7.01
Benue,Agatu,Hyacinth Alia,APC,7482.0,41.7
Benue,Agatu,Herman Hembe,LP,216.0,1.2
Benue,Agatu,Titus Uba,PDP,9934.0,55.37
Benue,Agatu,Other candidates,,311.0,1.73
Benue,Apa,Hyacinth Alia,APC,7925.0,47.97
Benue,Apa,Herman Hembe,LP,465.0,2.82
Benue,Apa,Titus Uba,PDP,7806.0,47.25
Benue,Apa,Other candidates,,324.0,1.96
Benue,Buruku,Hyacinth Alia,APC,34713.0,75.57
Benue,Buruku,Herman Hembe,LP,1155.0,2.51
Benue,Buruku,Titus Uba,PDP,9513.0,20.71
Benue,Buruku,Other candidates,,556.0,1.21
Benue,Gboko,Hyacinth Alia,APC,53985.0,71.68
Benue,Gboko,Herman Hembe,LP,1493.0,1.98
Benue,Gboko,Titus Uba,PDP,18773.0,24.93
Benue,Gboko,Other candidates,,1065.0,1.41
Benue,Guma,Hyacinth Alia,APC,15371.0,40.2
Benue,Guma,Herman Hembe,LP,535.0,1.4
Benue,Guma,Titus Uba,PDP,22083.0,57.75
Benue,Guma,Other candidates,,250.0,0.65
Benue,Gwer East,Hyacinth Alia,APC,20083.0,59.77
Benue,Gwer East,Herman Hembe,LP,1272.0,3.78
Benue,Gwer East,Titus Uba,PDP,12085.0,35.97
