state,lga,candidate,party,votes,percent
Bayelsa,Brass,Bola Tinubu,APC,3684.0,29.7
Bayelsa,Brass,Atiku Abubakar,PDP,6209.0,50.06
Bayelsa,Brass,Peter Obi,LP,2273.0,18.32
Bayelsa,Brass,Rabiu Kwankwaso,NNPP,25.0,0.2
Bayelsa,Brass,Other candidates,,213.0,1.72
Bayelsa,Ekeremor,Bola Tinubu,APC,4398.0,24.0
Bayelsa,Ekeremor,Atiku Abubakar,PDP,9113.0,49.73
Bayelsa,Ekeremor,Peter Obi,LP,4489.0,24.49
Bayelsa,Ekeremor,Rabiu Kwankwaso,NNPP,16.0,0.09
Bayelsa,Ekeremor,Other candidates,,310.0,1.69
Bayelsa,Kolokuma/Opokuma,Bola Tinubu,APC,4137.0,24.63
Bayelsa,Kolokuma/Opokuma,Atiku Abubakar,PDP,8972.0,53.42
Bayelsa,Kolokuma/Opokuma,Peter Obi,LP,3395.0,20.21
Bayelsa,Kolokuma/Opokuma,Rabiu Kwankwaso,NNPP,34.0,0.2
Bayelsa,Kolokuma/Opokuma,Other candidates,,259.0,1.54
Bayelsa,Nembe,Bola Tinubu,APC,3005.0,40.3
Bayelsa,Nembe,Atiku Abubakar,PDP,2334.0,31.3
Bayelsa,Nembe,Peter Obi,LP,1807.0,24.24
Bayelsa,Nembe,Rabiu Kwankwaso,NNPP,15.0,0.2
Bayelsa,Nembe,Other candidates,,295.0,3.96
Bayelsa,Ogbia,Bola Tinubu,APC,8444.0,37.67
Bayelsa,Ogbia,Atiku Abubakar,PDP,6362.0,28.38
Bayelsa,Ogbia,Peter Obi,LP,6721.0,29.98
Bayelsa,Ogbia,Rabiu Kwankwaso,NNPP,47.0,0.21
Bayelsa,Ogbia,Other candidates,,843.0,3.76
Bayelsa,Sagbama,Bola Tinubu,APC,4603.0,23.23
Bayelsa,Sagbama,Atiku Abubakar,PDP,10240.0,51.68
Bayelsa,Sagbama,Peter Obi,LP,4629.0,23.36
Bayelsa,Sagbama,Rabiu Kwankwaso,NNPP,24.0,0.12
Bayelsa,Sagbama,Other candidates,,320.0,1.61
Bayelsa,Southern Ijaw,Bola Tinubu,APC,7650.0,32.22
Bayelsa,Southern Ijaw,Atiku Abubakar,PDP,11280.0,47.51
Bayelsa,Southern Ijaw,Peter Obi,LP,4400.0,18.53
Bayelsa,Southern Ijaw,Rabiu Kwankwaso,NNPP,190.0,0.8
Bayelsa,Southern Ijaw,Other candidates,,224.0,0.94
Bayelsa,Yenagoa,Bola Tinubu,APC,6651.0,14.99
Bayelsa,Yenagoa,Atiku Abubakar,PDP,14308.0,32.25
Bayelsa,Yenagoa,Peter Obi,LP,22261.0,50.18
Bayelsa,Yenagoa,Rabiu Kwankwaso,NNPP,189.0,0.43
Bayelsa,Yenagoa,Other candidates,,956.0,2.15
Ekiti,Ado Ekiti,Bola Tinubu,APC,28751.0,67.22
Ekiti,Ado Ekiti,Atiku Abubakar,PDP,8168.0,19.1
Ekiti,Ado Ekiti,Peter Obi,LP,4485.0,10.49
Ekiti,Ado Ekiti,Rabiu Kwankwaso,NNPP,87.0,0.2
Ekiti,Ado Ekiti,Other candidates,,1282.0,3.0
Ekiti,Efon,Bola Tinubu,APC,5873.0,67.84
Ekiti,Efon,Atiku Abubakar,PDP,2521.0,29.12
Ekiti,Efon,Peter Obi,LP,125.0,1.44
Ekiti,Efon,Rabiu Kwankwaso,NNPP,3.0,0.04
Ekiti,Efon,Other candidates,,135.0,1.56
Ekiti,Ekiti East,Bola Tinubu,APC,12426.0,59.82
Ekiti,Ekiti East,Atiku Abubakar,PDP,7782.0,37.46
Ekiti,Ekiti East,Peter Obi,LP,375.0,1.81
Ekiti,Ekiti East,Rabiu Kwankwaso,NNPP,7.0,0.03
Ekiti,Ekiti East,Other candidates,,182.0,0.88
Ekiti,Ekiti South-West,Bola Tinubu,APC,11334.0,66.5
Ekiti,Ekiti South-West,Atiku Abubakar,PDP,5047.0,29.61
Ekiti,Ekiti South-West,Peter Obi,LP,440.0,2.58
Ekiti,Ekiti South-West,Rabiu Kwankwaso,NNPP,9.0,0.05
Ekiti,Ekiti South-West,Other candidates,,215.0,1.26
Ekiti,Ekiti West,Bola Tinubu,APC,14516.0,73.47
Ekiti,Ekiti West,Atiku Abubakar,PDP,4318.0,21.85
Ekiti,Ekiti West,Peter Obi,LP,391.0,1.98
Ekiti,Ekiti West,Rabiu Kwankwaso,NNPP,8.0,0.04
Ekiti,Ekiti West,Other candidates,,525.0,2.66
Ekiti,Emure,Bola Tinubu,APC,8159.0,68.81
Ekiti,Emure,Atiku Abubakar,PDP,3035.0,25.59
Ekiti,Emure,Peter Obi,LP,465.0,3.92
Ekiti,Emure,Rabiu Kwankwaso,NNPP,14.0,0.12
Ekiti,Emure,Other candidates,,185.0,1.56
Ekiti,Gbonyin,Bola Tinubu,APC,11961.0,72.09
Ekiti,Gbonyin,Atiku Abubakar,PDP,4178.0,25.18
Ekiti,Gbonyin,Peter Obi,LP,245.0,1.48
Ekiti,Gbonyin,Rabiu Kwankwaso,NNPP,11.0,0.07
Ekiti,Gbonyin,Other candidates,,196.0,1.18
